Image1,X1,Y1,W1,H1,Image2,X2,Y2,W2,H2,Similarity,TotalProcessingTime
image_customer/23/23.jpg,348,160,401,528,image_customer/46/46_3.jpg,334,122,476,683,-0.0514350943267345,1.0068657398223877
image_customer/40/40_2.jpg,204,52,138,183,image_customer/62/62_2.jpg,115,63,131,181,0.0459596887230873,1.003671646118164
image_customer/16/16.jpg,184,118,170,248,image_customer/49/49_2.jpg,64,27,86,127,-0.0186260621994733,1.0096230506896973
image_customer/13/13.jpg,281,53,137,180,image_customer/19/19_2.jpg,406,108,240,335,-0.0006612680735997,0.9968135356903076
image_customer/26/26_3.jpg,281,85,210,316,image_customer/30/30_3.jpg,61,51,92,133,-0.0037481035105884,0.997647762298584
image_customer/47/47_2.jpg,207,52,90,123,image_customer/57/57_3.jpg,42,39,130,163,0.1505908221006393,1.177236557006836
image_customer/28/28.jpg,292,91,258,290,image_customer/72/72_4.jpg,143,103,104,129,0.027997238561511,1.4405646324157717
image_customer/22/22.jpg,71,28,55,78,image_customer/69/69.jpg,64,31,102,148,-0.0035470251459628,1.500666618347168
image_customer/45/45_3.jpg,177,141,354,528,image_customer/7/7_3.jpg,89,56,145,194,-0.0857347100973129,1.266526699066162
image_customer/38/38_2.jpg,125,21,134,165,image_customer/51/51.jpg,176,173,248,319,-0.0739832073450088,1.0016324520111084
image_customer/11/11_4.jpg,575,80,284,352,image_customer/26/26_3.jpg,281,85,210,316,-0.0111812707036733,0.9940102100372314
image_customer/24/24_4.jpg,265,315,544,713,image_customer/71/71_2.jpg,1632,330,659,850,0.0111427176743745,0.9879601001739502
image_customer/25/25_2.jpg,254,85,142,194,image_customer/36/36_2.jpg,71,39,69,98,0.0344692915678024,1.0160810947418213
image_customer/48/48_4.jpg,525,80,237,326,image_customer/54/54_3.jpg,307,65,193,261,0.0358869396150112,1.0057270526885986
image_customer/62/62_3.jpg,80,39,56,79,image_customer/9/9_3.jpg,387,374,627,891,-0.0542916767299175,1.0141093730926514
image_customer/31/31.jpg,560,87,291,389,image_customer/39/39_2.jpg,595,281,355,472,0.0059061921201646,1.0096054077148438
image_customer/23/23.jpg,348,160,401,528,image_customer/58/58_3.jpg,153,74,167,250,0.0676849335432052,1.0384080410003662
image_customer/42/42_2.jpg,267,57,137,191,image_customer/45/45_4.jpg,165,24,62,100,0.0035624005831778,0.9975481033325196
image_customer/12/12.jpg,109,61,128,159,image_customer/53/53_2.jpg,45,16,68,103,0.0294064097106456,1.4055888652801514
image_customer/20/20_3.jpg,194,155,234,339,image_customer/31/31_3.jpg,199,168,403,522,-0.0917354300618171,1.4428753852844238
image_customer/59/59.jpg,215,199,196,281,image_customer/67/67.jpg,52,87,75,110,-0.0815296396613121,1.3560514450073242
image_customer/12/12.jpg,109,61,128,159,image_customer/40/40.jpg,65,52,83,115,-0.0081527456641197,1.0589885711669922
