Image1,X1,Y1,W1,H1,Image2,X2,Y2,W2,H2,Similarity,TotalProcessingTime
image_customer/1/1.jpg,87,84,132,159,image_customer/1/1_2.jpg,178,114,267,312,0.7089238166809082,1.0182020664215088
image_customer/1/1.jpg,87,84,132,159,image_customer/1/1_3.jpg,249,118,187,234,0.7646791338920593,1.008326292037964
image_customer/1/1.jpg,87,84,132,159,image_customer/1/1_4.jpg,359,276,273,349,0.6891384720802307,1.0057740211486816
image_customer/1/1_2.jpg,178,114,267,312,image_customer/1/1_3.jpg,249,118,187,234,0.6471970081329346,1.0101706981658936
image_customer/1/1_2.jpg,178,114,267,312,image_customer/1/1_4.jpg,359,276,273,349,0.6180141568183899,1.0008764266967771
image_customer/1/1_3.jpg,249,118,187,234,image_customer/1/1_4.jpg,359,276,273,349,0.6732663512229919,1.075052261352539
image_customer/10/10.jpg,214,164,322,417,image_customer/10/10_2.jpg,181,96,211,263,0.7808974981307983,1.0001051425933838
image_customer/10/10.jpg,214,164,322,417,image_customer/10/10_3.jpg,234,103,125,166,0.7350043654441833,0.9965639114379884
image_customer/10/10.jpg,214,164,322,417,image_customer/10/10_4.jpg,79,80,142,189,0.8473432660102844,1.2227206230163574
image_customer/10/10_2.jpg,181,96,211,263,image_customer/10/10_3.jpg,234,103,125,166,0.7599207162857056,1.437180995941162
image_customer/10/10_2.jpg,181,96,211,263,image_customer/10/10_4.jpg,79,80,142,189,0.7350392937660217,1.405907154083252
image_customer/10/10_3.jpg,234,103,125,166,image_customer/10/10_4.jpg,79,80,142,189,0.7300148606300354,1.1992528438568115
image_customer/11/11.jpg,98,14,86,117,image_customer/11/11_2.jpg,243,39,141,199,0.6921941041946411,1.007786512374878
image_customer/11/11.jpg,98,14,86,117,image_customer/11/11_3.jpg,285,77,232,293,0.5691729784011841,1.0188744068145752
image_customer/11/11.jpg,98,14,86,117,image_customer/11/11_4.jpg,575,80,284,352,0.6869766712188721,1.0298669338226318
