Image1,X1,Y1,W1,H1,Image2,X2,Y2,W2,H2,Similarity,TotalProcessingTime
image_customer/23/23.jpg,348,160,401,528,image_customer/46/46_3.jpg,334,122,476,683,0.7173170447349548,0.3961834907531738
image_customer/40/40_2.jpg,204,52,138,183,image_customer/62/62_2.jpg,115,63,131,181,0.7658926844596863,0.3352334499359131
image_customer/16/16.jpg,184,118,170,248,image_customer/49/49_2.jpg,64,27,86,127,0.6050920486450195,0.3956518173217773
image_customer/13/13.jpg,281,53,137,180,image_customer/19/19_2.jpg,406,108,240,335,0.7131190299987793,0.4316568374633789
image_customer/26/26_3.jpg,281,85,210,316,image_customer/30/30_3.jpg,61,51,92,133,0.4378297328948974,0.433640718460083
image_customer/47/47_2.jpg,207,52,90,123,image_customer/57/57_3.jpg,42,39,130,163,0.8608556985855103,0.4515013694763183
image_customer/28/28.jpg,292,91,258,290,image_customer/72/72_4.jpg,143,103,104,129,0.6316238045692444,0.3505957126617431
image_customer/22/22.jpg,71,28,55,78,image_customer/69/69.jpg,64,31,102,148,0.6421380043029785,0.4478738307952881
image_customer/45/45_3.jpg,177,141,354,528,image_customer/7/7_3.jpg,89,56,145,194,0.7239835858345032,0.4200608730316162
image_customer/38/38_2.jpg,125,21,134,165,image_customer/51/51.jpg,176,173,248,319,0.7845774292945862,0.4509556293487549
image_customer/11/11_4.jpg,575,80,284,352,image_customer/26/26_3.jpg,281,85,210,316,0.4932291805744171,0.378972053527832
image_customer/24/24_4.jpg,265,315,544,713,image_customer/71/71_2.jpg,1632,330,659,850,0.60067218542099,0.3783383369445801
image_customer/25/25_2.jpg,254,85,142,194,image_customer/36/36_2.jpg,71,39,69,98,0.7567000985145569,0.3788793087005615
image_customer/48/48_4.jpg,525,80,237,326,image_customer/54/54_3.jpg,307,65,193,261,0.5694330334663391,0.3980278968811035
image_customer/62/62_3.jpg,80,39,56,79,image_customer/9/9_3.jpg,387,374,627,891,0.3353179097175598,0.824631929397583
image_customer/31/31.jpg,560,87,291,389,image_customer/39/39_2.jpg,595,281,355,472,0.7802058458328247,0.639916181564331
image_customer/23/23.jpg,348,160,401,528,image_customer/58/58_3.jpg,153,74,167,250,0.6995176672935486,0.5127267837524414
image_customer/42/42_2.jpg,267,57,137,191,image_customer/45/45_4.jpg,165,24,62,100,0.5632311701774597,0.495352029800415
image_customer/12/12.jpg,109,61,128,159,image_customer/53/53_2.jpg,45,16,68,103,0.6291397213935852,0.5024573802947998
image_customer/20/20_3.jpg,194,155,234,339,image_customer/31/31_3.jpg,199,168,403,522,0.3767886757850647,0.5034270286560059
image_customer/59/59.jpg,215,199,196,281,image_customer/67/67.jpg,52,87,75,110,0.747165322303772,0.5391330718994141
image_customer/12/12.jpg,109,61,128,159,image_customer/40/40.jpg,65,52,83,115,0.6403617858886719,0.4062662124633789
image_customer/29/29_2.jpg,233,53,81,116,image_customer/43/43_2.jpg,289,193,435,654,0.5175348520278931,0.4412450790405273
image_customer/18/18_4.jpg,491,95,356,464,image_customer/25/25_4.jpg,704,168,424,578,0.8035051226615906,0.4371883869171142
image_customer/17/17_4.jpg,78,42,105,149,image_customer/8/8.jpg,35,74,107,129,0.8139466643333435,0.4210443496704101
image_customer/49/49_2.jpg,64,27,86,127,image_customer/5/5_2.jpg,208,38,175,239,0.7560958862304688,0.3641343116760254
image_customer/33/33.jpg,40,41,117,157,image_customer/72/72_3.jpg,316,502,153,197,0.6088191866874695,0.3968281745910644
