Image1,X1,Y1,W1,H1,Image2,X2,Y2,W2,H2,Similarity,TotalProcessingTime
image_customer/1/1.jpg,87,84,132,159,image_customer/1/1_2.jpg,178,114,267,312,0.8110515,6.404382228851318
image_customer/1/1.jpg,87,84,132,159,image_customer/1/1_3.jpg,249,118,187,234,0.20356733,1.5260584354400637
image_customer/1/1.jpg,87,84,132,159,image_customer/1/1_4.jpg,359,276,273,349,0.27295995,1.8157312870025637
image_customer/1/1_2.jpg,178,114,267,312,image_customer/1/1_3.jpg,249,118,187,234,0.13112122,1.191007375717163
image_customer/1/1_2.jpg,178,114,267,312,image_customer/1/1_4.jpg,359,276,273,349,0.15447553,1.4884295463562012
image_customer/1/1_3.jpg,249,118,187,234,image_customer/1/1_4.jpg,359,276,273,349,0.7198732,1.8162436485290527
image_customer/10/10.jpg,214,164,322,417,image_customer/10/10_2.jpg,181,96,211,263,0.62396735,2.6786251068115234
image_customer/10/10.jpg,214,164,322,417,image_customer/10/10_3.jpg,234,103,125,166,0.3383662,1.8143134117126465
image_customer/10/10.jpg,214,164,322,417,image_customer/10/10_4.jpg,79,80,142,189,0.8052509,1.4868264198303225
image_customer/10/10_2.jpg,181,96,211,263,image_customer/10/10_3.jpg,234,103,125,166,0.6756022,1.1820147037506104
image_customer/10/10_2.jpg,181,96,211,263,image_customer/10/10_4.jpg,79,80,142,189,0.49767235,1.1906776428222656
image_customer/10/10_3.jpg,234,103,125,166,image_customer/10/10_4.jpg,79,80,142,189,0.2386836,1.1800756454467771
image_customer/11/11.jpg,98,14,86,117,image_customer/11/11_2.jpg,243,39,141,199,0.109313644,2.638174772262573
image_customer/11/11.jpg,98,14,86,117,image_customer/11/11_3.jpg,285,77,232,293,0.69779253,1.531630277633667
image_customer/11/11.jpg,98,14,86,117,image_customer/11/11_4.jpg,575,80,284,352,0.26032567,1.6536719799041748
image_customer/11/11_2.jpg,243,39,141,199,image_customer/11/11_3.jpg,285,77,232,293,0.103912175,1.8710720539093015
image_customer/11/11_2.jpg,243,39,141,199,image_customer/11/11_4.jpg,575,80,284,352,0.6345328,1.9668288230896
image_customer/11/11_3.jpg,285,77,232,293,image_customer/11/11_4.jpg,575,80,284,352,0.16283675,1.7303977012634275
image_customer/12/12.jpg,109,61,128,159,image_customer/12/12_2.jpg,73,73,118,153,0.03256945,3.244168996810913
image_customer/12/12.jpg,109,61,128,159,image_customer/12/12_4.jpg,116,87,139,179,0.11715057,2.1411211490631104
image_customer/12/12.jpg,109,61,128,159,image_customer/12/12_3.jpg,71,53,94,122,0.048926882,1.4811105728149414
image_customer/12/12_2.jpg,73,73,118,153,image_customer/12/12_4.jpg,116,87,139,179,0.5008066,1.186960220336914
image_customer/12/12_2.jpg,73,73,118,153,image_customer/12/12_3.jpg,71,53,94,122,0.8755258,1.1949090957641602
image_customer/12/12_4.jpg,116,87,139,179,image_customer/12/12_3.jpg,71,53,94,122,0.5932498,1.2374141216278076
