Image1,X1,Y1,W1,H1,ProcessingTime1,Image2,X2,Y2,W2,H2,ProcessingTime2
image_customer/23/23.jpg,348,160,401,528,0.8542745113372803,image_customer/46/46_3.jpg,334,122,476,683,0.8233468532562256
image_customer/40/40_2.jpg,204,52,138,183,0.9139165878295898,image_customer/62/62_2.jpg,115,63,131,181,0.873643159866333
image_customer/16/16.jpg,184,118,170,248,0.8038084506988525,image_customer/49/49_2.jpg,64,27,86,127,0.8241710662841797
image_customer/13/13.jpg,281,53,137,180,0.8090958595275879,image_customer/19/19_2.jpg,406,108,240,335,0.7582728862762451
image_customer/26/26_3.jpg,281,85,210,316,0.5814871788024902,image_customer/30/30_3.jpg,61,51,92,133,0.5118386745452881
image_customer/47/47_2.jpg,207,52,90,123,0.5238618850708008,image_customer/57/57_3.jpg,42,39,130,163,0.5100390911102295
image_customer/28/28.jpg,292,91,258,290,0.5198838710784912,image_customer/72/72_4.jpg,143,103,104,129,0.5049948692321777
image_customer/22/22.jpg,71,28,55,78,0.5208296775817871,image_customer/69/69.jpg,64,31,102,148,0.5384190082550049
image_customer/45/45_3.jpg,177,141,354,528,0.5198557376861572,image_customer/7/7_3.jpg,89,56,145,194,0.5068204402923584
image_customer/38/38_2.jpg,125,21,134,165,0.5201876163482666,image_customer/51/51.jpg,176,173,248,319,0.5096757411956787
image_customer/11/11_4.jpg,575,80,284,352,0.518425464630127,image_customer/26/26_3.jpg,281,85,210,316,0.5008211135864258
image_customer/24/24_4.jpg,265,315,544,713,0.5219535827636719,image_customer/71/71_2.jpg,1632,330,659,850,0.5226912498474121
image_customer/25/25_2.jpg,254,85,142,194,0.5104207992553711,image_customer/36/36_2.jpg,71,39,69,98,0.5243198871612549
image_customer/48/48_4.jpg,525,80,237,326,0.6040596961975098,image_customer/54/54_3.jpg,307,65,193,261,0.8216156959533691
image_customer/62/62_3.jpg,80,39,56,79,0.8155691623687744,image_customer/9/9_3.jpg,387,374,627,891,0.8101165294647217
image_customer/31/31.jpg,560,87,291,389,0.8053922653198242,image_customer/39/39_2.jpg,595,281,355,472,0.7567596435546875
image_customer/23/23.jpg,348,160,401,528,0.6799182891845703,image_customer/58/58_3.jpg,153,74,167,250,0.5073421001434326
image_customer/42/42_2.jpg,267,57,137,191,0.5205497741699219,image_customer/45/45_4.jpg,165,24,62,100,0.5020527839660645
image_customer/12/12.jpg,109,61,128,159,0.5143296718597412,image_customer/53/53_2.jpg,45,16,68,103,0.5093328952789307
image_customer/20/20_3.jpg,194,155,234,339,0.5219578742980957,image_customer/31/31_3.jpg,199,168,403,522,0.5058636665344238
image_customer/59/59.jpg,215,199,196,281,0.5205583572387695,image_customer/67/67.jpg,52,87,75,110,0.5072438716888428
image_customer/12/12.jpg,109,61,128,159,0.5256717205047607,image_customer/40/40.jpg,65,52,83,115,0.5027408599853516
image_customer/29/29_2.jpg,233,53,81,116,0.5217118263244629,image_customer/43/43_2.jpg,289,193,435,654,0.5037574768066406
image_customer/18/18_4.jpg,491,95,356,464,0.5206804275512695,image_customer/25/25_4.jpg,704,168,424,578,0.5023989677429199
image_customer/17/17_4.jpg,78,42,105,149,0.5206868648529053,image_customer/8/8.jpg,35,74,107,129,0.5056231021881104
image_customer/49/49_2.jpg,64,27,86,127,0.5172910690307617,image_customer/5/5_2.jpg,208,38,175,239,0.5703001022338867
image_customer/33/33.jpg,40,41,117,157,0.8233160972595215,image_customer/72/72_3.jpg,316,502,153,197,0.8316419124603271
image_customer/40/40_3.jpg,327,278,557,771,0.8258428573608398,image_customer/63/63_2.jpg,521,317,778,1146,0.80977463722229
image_customer/17/17_3.jpg,156,47,139,199,0.515974760055542,image_customer/69/69_4.jpg,449,149,317,411,0.5067503452301025
image_customer/54/54_4.jpg,931,295,283,384,0.5194778442382812,image_customer/55/55_2.jpg,59,54,114,151,0.5036540031433105
image_customer/24/24_2.jpg,117,28,41,53,0.5214869976043701,image_customer/61/61_2.jpg,152,28,147,218,0.5098741054534912
image_customer/12/12_3.jpg,71,53,94,122,0.5424177646636963,image_customer/70/70_2.jpg,213,34,107,146,0.5054712295532227
image_customer/64/64_3.jpg,76,25,53,72,0.5187535285949707,image_customer/9/9_4.jpg,435,157,187,252,0.5063352584838867
image_customer/59/59.jpg,215,199,196,281,0.5159039497375488,image_customer/7/7.jpg,104,88,145,189,0.5095171928405762
image_customer/32/32_4.jpg,197,58,105,145,0.5172829627990723,image_customer/51/51_3.jpg,208,48,148,195,0.5079176425933838
image_customer/25/25_3.jpg,304,259,405,546,0.5197446346282959,image_customer/33/33.jpg,40,41,117,157,0.5193665027618408
image_customer/2/2_2.jpg,196,35,153,222,0.520942211151123,image_customer/43/43.jpg,64,82,282,443,0.5064852237701416
