file_name,x1,y1,x2,y2,IoU,center_distance,inference_time
image_customer/2/2.jpg,303,28,512,340,0.7272,35.98,0.2624
image_customer/2/2_2.jpg,175,4,359,265,0.5657,35.6,0.1263
image_customer/2/2_3.jpg,481,68,816,565,0.7124,48.64,0.1467
image_customer/2/2_4.jpg,244,1,462,267,0.6896,22.46,0.1734
image_customer/1/1.jpg,72,38,226,246,0.7003,25.78,0.2257
image_customer/1/1_2.jpg,162,167,479,435,0.8401,10.37,0.2385
image_customer/1/1_3.jpg,242,91,452,356,0.747,28.13,0.2723
image_customer/1/1_4.jpg,348,220,645,635,0.6801,60.99,0.2531
image_customer/3/3.jpg,185,20,309,204,0.5987,21.69,0.2323
image_customer/3/3_2.jpg,131,97,303,301,0.7752,8.54,0.2709
image_customer/3/3_3.jpg,53,9,158,148,0.6455,15.38,0.2793
image_customer/3/3_4.jpg,63,197,408,703,0.705,48.15,0.237
image_customer/4/4.jpg,344,36,604,467,0.7334,48.77,0.2492
image_customer/4/4_2.jpg,275,45,554,498,0.7374,49.29,0.2896
image_customer/4/4_3.jpg,330,63,559,386,0.76,22.52,0.2273
image_customer/4/4_4.jpg,140,16,464,438,0.6513,17.89,0.2253
image_customer/5/5.jpg,220,260,1023,1542,0.3984,147.33,0.283
image_customer/5/5_2.jpg,191,11,392,279,0.6605,32.14,0.1787
image_customer/5/5_3.jpg,139,8,301,224,0.7056,20.89,0.2094
image_customer/5/5_4.jpg,201,6,459,350,0.5624,41.92,0.141
image_customer/6/6.jpg,52,66,309,373,0.5016,42.75,0.1847
image_customer/6/6_3.jpg,192,80,368,320,0.7013,28.53,0.145
image_customer/6/6_2.jpg,239,19,375,221,0.7318,23.81,0.1475
image_customer/6/6_4.jpg,202,62,461,447,0.6365,61.29,0.2125
image_customer/7/7.jpg,84,76,267,284,0.6802,16.06,0.149
image_customer/7/7_2.jpg,100,0,199,140,0.5699,23.23,0.1328
image_customer/7/7_3.jpg,84,25,239,258,0.7381,25.65,0.1928
image_customer/7/7_4.jpg,75,38,160,177,0.6252,23.91,0.1878
image_customer/8/8.jpg,13,70,159,274,0.4722,24.98,0.1537
image_customer/8/8_2.jpg,247,38,332,173,0.6861,18.98,0.1371
image_customer/8/8_3.jpg,224,37,422,272,0.6931,20.4,0.1452
image_customer/8/8_4..jpg,457,73,748,507,0.6414,60.7,0.1338
image_customer/9/9.jpg,213,33,349,230,0.7398,18.32,0.1414
image_customer/9/9_3.jpg,280,165,1140,1279,0.5793,145.94,0.1524
image_customer/9/9_2.jpg,103,3,200,128,0.5134,22.04,0.1291
image_customer/9/9_4.jpg,418,109,633,413,0.7246,31.94,0.1759
image_customer/10/10.jpg,177,136,550,590,0.7546,29.32,0.1592
image_customer/10/10_2.jpg,173,34,406,362,0.6986,41.4,0.1637
image_customer/10/10_3.jpg,230,62,363,276,0.6331,31.16,0.1324
image_customer/10/10_4.jpg,59,73,247,320,0.5878,12.97,0.1444
image_customer/11/11.jpg,98,6,186,133,0.691,18.12,0.1339
image_customer/11/11_2.jpg,232,25,388,240,0.6988,26.38,0.1314
image_customer/11/11_3.jpg,272,17,529,377,0.656,56.61,0.149
image_customer/11/11_4.jpg,573,27,867,440,0.6284,58.67,0.131
image_customer/13/13.jpg,272,25,424,237,0.6998,19.13,0.1263
image_customer/13/13_2.jpg,214,62,404,323,0.7624,17.68,0.1921
image_customer/13/13_4.jpg,239,14,438,302,0.7584,29.79,0.1522
image_customer/13/13_3.jpg,192,16,323,206,0.7865,14.29,0.1484
image_customer/12/12.jpg,106,23,242,225,0.7368,22.47,0.1612
image_customer/12/12_2.jpg,68,27,196,228,0.6853,25.06,0.182
image_customer/12/12_3.jpg,67,15,172,176,0.6846,20.8,0.1478
image_customer/12/12_4.jpg,113,46,261,271,0.7306,25.14,0.183
image_customer/14/14.jpg,100,29,339,381,0.7789,26.64,0.1477
image_customer/14/14_2.jpg,123,7,437,404,0.733,42.6,0.1392
image_customer/14/14_3.jpg,285,42,550,441,0.7655,42.29,0.1379
image_customer/14/14_4.jpg,308,48,558,382,0.7443,29.35,0.1656
image_customer/15/15.jpg,381,21,623,382,0.6615,47.02,0.1281
image_customer/15/15_2.jpg,181,47,446,373,0.6618,36.3,0.1462
image_customer/15/15_3.jpg,264,25,420,265,0.7689,23.41,0.1426
image_customer/15/15_4.jpg,392,27,575,272,0.6347,27.72,0.129
image_customer/16/16.jpg,176,106,388,367,0.7028,23.72,0.1497
image_customer/16/16_2.jpg,350,2,596,355,0.7755,35.97,0.1336
image_customer/16/16_3.jpg,166,37,317,228,0.6488,15.74,0.141
image_customer/16/16_4.jpg,110,3,188,117,0.7191,11.46,0.1334
image_customer/17/17.jpg,267,112,537,510,0.7916,33.78,0.191
image_customer/17/17_2.jpg,374,40,560,334,0.6823,31.21,0.1256
image_customer/17/17_3.jpg,142,34,305,250,0.7027,15.74,0.1938
image_customer/17/17_4.jpg,76,32,185,194,0.74,14.68,0.187
image_customer/18/18.jpg,359,10,1113,960,0.8343,66.33,0.1866
image_customer/18/18_2.jpg,309,82,910,920,0.7578,91.21,0.2294
image_customer/18/18_3.jpg,90,22,275,270,0.7168,18.98,0.1555
image_customer/18/18_4.jpg,465,66,934,753,0.5379,67.89,0.1667
image_customer/19/19.jpg,488,40,875,635,0.6829,72.24,0.1493
image_customer/19/19_2.jpg,397,34,659,441,0.7386,43.49,0.1408
image_customer/19/19_3.jpg,396,57,826,699,0.7274,68.29,0.1771
image_customer/19/19_4.jpg,190,171,647,858,0.771,53.59,0.1774
image_customer/20/20.jpg,46,15,138,138,0.6429,18.37,0.1635
image_customer/20/20_2.jpg,167,74,297,222,0.7574,15.76,0.1295
image_customer/20/20_3.jpg,77,29,482,535,0.2999,95.3,0.1449
image_customer/20/20_4.jpg,397,1,767,475,0.6684,58.79,0.1277
image_customer/21/21.jpg,171,10,325,238,0.7175,32.56,0.1512
image_customer/21/21_3.jpg,160,15,365,302,0.6762,29.34,0.1364
